Territorio,CEDI,Subcanal,Tamaño Industria,Codigo Cliente,Ventas Promedio,Espacio Total m2,Racks Actuales,Deuda
Occidente,3931,Abarrotes,PEQUEÑO,500136135,174.89,25,3,94
Occidente,3931,Abarrotes,MEDIANO,500132970,374.16,70,2,56
Occidente,3931,Abarrotes,MEDIANO,500134713,327.19,20,1,33
Occidente,3931,Abarrotes,MEDIANO,500133195,436.4,48,3,144
Occidente,3931,Abarrotes,MEDIANO,500134068,222.85,0,1,121
Occidente,3931,Abarrotes,GRANDE,500135503,531.72,48,3,50
Occidente,3931,Abarrotes,GRANDE,500133285,667.67,30,3,146
Occidente,3931,Abarrotes,MEDIANO,500134549,225.74,32,2,173
Occidente,3931,Abarrotes,MEDIANO,500135527,364.81,0,4,41
Occidente,3934,Abarrotes,PEQUEÑO,500143070,245.66,30,2,118
Occidente,3931,Abarrotes,MEDIANO,500146170,464.17,30,3,32
Occidente,3936,Abarrotes,MEDIANO,500142150,424.04,30,2,128
Occidente,3931,Abarrotes,PEQUEÑO,500411011,184.97,20,0,90
Occidente,3931,Abarrotes,GRANDE,500133223,574.38,32,3,154
Occidente,3931,Abarrotes,MEDIANO,500135617,499.37,25,2,138
Occidente,3937,Abarrotes,MEDIANO,500143504,521.05,20,4,52
Occidente,3931,Abarrotes,MEDIANO,500135295,498.48,0,3,21
Occidente,3931,Abarrotes,PEQUEÑO,500412164,353.48,0,0,160
Occidente,3931,Abarrotes,GRANDE,500131211,457.63,64,2,18
Occidente,3931,Abarrotes,PEQUEÑO,500133263,217.02,25,2,175
Occidente,3931,Abarrotes,PEQUEÑO,500136450,245.33,48,2,183
Occidente,3931,Abarrotes,PEQUEÑO,500133053,142.31,25,2,60
Occidente,3931,Abarrotes,GRANDE,500135668,580.69,48,1,196
Occidente,3937,Abarrotes,PEQUEÑO,500144197,162.59,20,2,32
Occidente,3931,Abarrotes,MEDIANO,500134714,251.53,12,3,123
Occidente,3932,Abarrotes,PEQUEÑO,500141022,206.83,25,2,20
Occidente,3936,Abarrotes,MEDIANO,500287413,549.8,49,1,20
Occidente,3931,Abarrotes,MEDIANO,500136687,224.01,42,2,54
Occidente,3933,Abarrotes,PEQUEÑO,500131902,271.42,20,2,104
Occidente,3931,Abarrotes,GRANDE,500134225,201.73,36,2,78
Occidente,3931,Abarrotes,GRANDE,500134234,440.34,30,3,194
Occidente,3937,Abarrotes,GRANDE,500144179,604.09,0,3,76
Occidente,3931,Abarrotes,GRANDE,500135161,485.65,48,1,187
Occidente,3931,Abarrotes,GRANDE,500203164,337.1,25,5,143
Occidente,3931,Abarrotes,GRANDE,500131277,448.37,48,4,197
Occidente,3931,Abarrotes,MEDIANO,500136349,242.05,20,1,59
Occidente,3931,Abarrotes,GRANDE,500134571,360.8,30,4,185
Occidente,3931,Abarrotes,PEQUEÑO,500134934,186.11,16,1,32
Occidente,3931,Abarrotes,GRANDE,500135525,531.73,48,3,146
Occidente,3931,Abarrotes,PEQUEÑO,500136038,136.9,20,3,114
Occidente,3931,Abarrotes,MEDIANO,500411048,358.02,0,0,146
Occidente,3931,Abarrotes,GRANDE,500134855,613.35,48,4,26
Occidente,3931,Abarrotes,GRANDE,500135404,404.39,35,3,88
Occidente,3931,Abarrotes,PEQUEÑO,500136655,310.22,15,2,75
Occidente,3936,Abarrotes,MEDIANO,500141944,562.25,0,1,107
Occidente,3937,Abarrotes,MEDIANO,500144181,267.5,20,2,192
Occidente,3931,Abarrotes,MEDIANO,500135241,537.78,20,2,92
Occidente,3931,Abarrotes,PEQUEÑO,500136745,279.81,35,4,125
Occidente,3931,Abarrotes,GRANDE,500134678,617.58,40,1,96
Occidente,3931,Abarrotes,GRANDE,500138548,880.47,42,3,59
Occidente,3931,Abarrotes,GRANDE,500133098,728.03,12,1,70
Occidente,3931,Abarrotes,MEDIANO,500133922,427.64,33,3,87
Occidente,3931,Abarrotes,MEDIANO,500135288,309.2,12,3,131
Occidente,3931,Abarrotes,GRANDE,500136382,749.13,20,2,124
Occidente,3932,Abarrotes,MEDIANO,500140901,174.87,20,2,91
Occidente,3934,Abarrotes,MEDIANO,500143248,513.7,36,2,165
Occidente,3931,Abarrotes,MEDIANO,500132859,267.53,16,2,167
Occidente,3931,Abarrotes,PEQUEÑO,500134775,297.31,12,2,131
Occidente,3931,Abarrotes,GRANDE,500135067,565.37,28,3,118
Occidente,3937,Abarrotes,PEQUEÑO,500142641,172.14,18,1,81
Occidente,3937,Abarrotes,MEDIANO,500143639,443.98,20,3,76
Occidente,3934,Abarrotes,PEQUEÑO,500131798,156.42,30,3,116
Occidente,3931,Abarrotes,PEQUEÑO,500133931,205.61,40,3,149
Occidente,3931,Abarrotes,GRANDE,500134110,379.16,35,1,99
Occidente,3931,Abarrotes,GRANDE,500134379,366.1,28,2,102
Occidente,3931,Abarrotes,MEDIANO,500135337,386.69,36,2,29
Occidente,3934,Abarrotes,GRANDE,500143101,264.04,30,2,67
